集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数_増減率（％）
1995,14,神奈川県,2,ヨーロッパ州,207,オランダ,-
1995,14,神奈川県,2,ヨーロッパ州,208,ベルギー,-
1995,14,神奈川県,2,ヨーロッパ州,210,フランス,-
1995,14,神奈川県,2,ヨーロッパ州,213,ドイツ,-
1995,14,神奈川県,2,ヨーロッパ州,218,スペイン,-
1995,14,神奈川県,2,ヨーロッパ州,220,イタリア,-
1995,14,神奈川県,2,ヨーロッパ州,225,オーストリア,-
1995,14,神奈川県,3,北アメリカ州,302,カナダ,-
1995,14,神奈川県,3,北アメリカ州,304,アメリカ合衆国,-
1995,14,神奈川県,3,北アメリカ州,305,メキシコ,-
1995,14,神奈川県,3,北アメリカ州,312,パナマ,-
1995,14,神奈川県,3,北アメリカ州,399,その他の北アメリカ州,-
1995,14,神奈川県,4,南アメリカ州,409,チリ,-
1995,14,神奈川県,4,南アメリカ州,410,ブラジル,-
1995,14,神奈川県,5,アフリカ州,524,ナイジェリア,-
1995,14,神奈川県,6,大洋州,601,オーストラリア,-
1995,15,新潟県,1,アジア州,105,中華人民共和国,-
1995,15,新潟県,1,アジア州,106,台湾,-
1995,15,新潟県,1,アジア州,111,タイ,-
1995,15,新潟県,2,ヨーロッパ州,205,英国,-
1995,15,新潟県,3,北アメリカ州,304,アメリカ合衆国,-
1995,16,富山県,1,アジア州,103,大韓民国,-
1995,16,富山県,1,アジア州,105,中華人民共和国,-
1995,16,富山県,1,アジア州,106,台湾,-
1995,16,富山県,1,アジア州,108,香港,-
1995,16,富山県,1,アジア州,111,タイ,-
1995,16,富山県,1,アジア州,112,シンガポール,-
1995,16,富山県,1,アジア州,113,マレーシア,-
1995,16,富山県,1,アジア州,117,フィリピン,-
1995,16,富山県,1,アジア州,118,インドネシア,-
1995,16,富山県,2,ヨーロッパ州,205,英国,-
1995,16,富山県,2,ヨーロッパ州,207,オランダ,-
1995,16,富山県,2,ヨーロッパ州,213,ドイツ,-
1995,16,富山県,2,ヨーロッパ州,218,スペイン,-
1995,16,富山県,2,ヨーロッパ州,288,旧ソ連,-
1995,16,富山県,3,北アメリカ州,302,カナダ,-
1995,16,富山県,3,北アメリカ州,304,アメリカ合衆国,-
1995,16,富山県,3,北アメリカ州,305,メキシコ,-
1995,16,富山県,4,南アメリカ州,410,ブラジル,-
1995,16,富山県,6,大洋州,601,オーストラリア,-
1995,17,石川県,1,アジア州,103,大韓民国,-
1995,17,石川県,1,アジア州,105,中華人民共和国,-
1995,17,石川県,1,アジア州,106,台湾,-
1995,17,石川県,1,アジア州,108,香港,-
1995,17,石川県,1,アジア州,111,タイ,-
1995,17,石川県,1,アジア州,112,シンガポール,-
1995,17,石川県,2,ヨーロッパ州,220,イタリア,-
1995,17,石川県,3,北アメリカ州,304,アメリカ合衆国,-
1995,18,福井県,1,アジア州,103,大韓民国,-
1995,18,福井県,1,アジア州,105,中華人民共和国,-
1995,18,福井県,1,アジア州,106,台湾,-
1995,18,福井県,1,アジア州,108,香港,-
1995,18,福井県,1,アジア州,111,タイ,-
1995,18,福井県,1,アジア州,118,インドネシア,-
1995,18,福井県,2,ヨーロッパ州,205,英国,-
1995,18,福井県,2,ヨーロッパ州,213,ドイツ,-
1995,18,福井県,3,北アメリカ州,304,アメリカ合衆国,-
1995,19,山梨県,1,アジア州,105,中華人民共和国,-
1995,19,山梨県,1,アジア州,106,台湾,-
